国債金利情報 (令和7年7月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R7.7.1,0.581,0.735,0.78,0.891,0.986,1.032,1.11,1.2,1.313,1.419,1.985,2.345,2.613,2.789,3.082
R7.7.2,0.582,0.741,0.785,0.899,0.992,1.041,1.12,1.211,1.328,1.434,1.994,2.352,2.622,2.785,3.074
R7.7.3,0.592,0.746,0.796,0.91,1.009,1.06,1.136,1.227,1.341,1.448,2.018,2.383,2.668,2.844,3.13
R7.7.4,0.583,0.736,0.786,0.9,0.992,1.046,1.124,1.216,1.333,1.444,2.018,2.391,2.677,2.852,3.129
R7.7.7,0.575,0.732,0.782,0.902,0.993,1.046,1.126,1.224,1.343,1.463,2.05,2.44,2.745,2.932,3.218
R7.7.8,0.576,0.733,0.786,0.906,1.009,1.063,1.144,1.245,1.373,1.492,2.096,2.505,2.825,3.007,3.31
R7.7.9,0.587,0.754,0.807,0.927,1.029,1.088,1.168,1.266,1.389,1.507,2.108,2.511,2.823,3.003,3.297
R7.7.10,0.587,0.76,0.811,0.922,1.025,1.084,1.163,1.261,1.386,1.498,2.115,2.508,2.824,3.008,3.301
R7.7.11,0.591,0.764,0.816,0.931,1.035,1.094,1.178,1.275,1.395,1.507,2.105,2.503,2.806,2.992,3.278
R7.7.14,0.614,0.781,0.842,0.959,1.074,1.143,1.235,1.337,1.458,1.574,2.189,2.593,2.894,3.083,3.403
R7.7.15,0.615,0.792,0.853,0.97,1.085,1.154,1.247,1.351,1.473,1.588,2.218,2.61,2.912,3.087,3.398
R7.7.16,0.616,0.793,0.853,0.971,1.085,1.154,1.242,1.346,1.463,1.575,2.188,2.564,2.867,3.011,3.32
R7.7.17,0.618,0.788,0.847,0.966,1.081,1.149,1.235,1.339,1.45,1.561,2.177,2.564,2.869,3.029,3.317
R7.7.18,0.608,0.772,0.829,0.94,1.046,1.117,1.205,1.308,1.418,1.528,2.135,2.526,2.84,3.014,3.302
R7.7.22,0.596,0.76,0.817,0.921,1.027,1.094,1.183,1.289,1.4,1.51,2.125,2.531,2.847,3.022,3.319
R7.7.23,0.654,0.838,0.897,1.016,1.125,1.192,1.281,1.383,1.492,1.596,2.198,2.59,2.891,3.062,3.379
R7.7.24,0.665,0.854,0.909,1.03,1.14,1.207,1.295,1.393,1.502,1.605,2.191,2.574,2.865,3.034,3.338
R7.7.25,0.684,0.863,0.921,1.044,1.155,1.217,1.304,1.399,1.506,1.605,2.18,2.553,2.847,3.006,3.301
R7.7.28,0.678,0.849,0.905,1.01,1.122,1.183,1.269,1.362,1.471,1.571,2.141,2.515,2.812,2.975,3.267
R7.7.29,0.669,0.835,0.895,1.002,1.108,1.175,1.261,1.354,1.463,1.564,2.152,2.532,2.825,2.999,3.28
R7.7.30,0.66,0.826,0.886,0.994,1.097,1.166,1.253,1.346,1.459,1.565,2.156,2.541,2.843,3.019,3.3
R7.7.31,0.662,0.826,0.886,0.994,1.097,1.163,1.249,1.345,1.457,1.559,2.15,2.542,2.847,3.026,3.308
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
